--------------------------------------------------------------------------
** INTERNAL USE ONLY **
Intel(R) SoC Watch for Windows* OS Version 2025.5.0 [Jul  3 2025]
Build Ref: eb71eb355ee5245549cefdd6ebec487f4ec32c2d
Driver Version 2.20.2 [May  6 2025]
Copyright (c) 2024 Intel Corporation. All Rights Reserved.
Platform power analysis tool for use with Intel processors/chipsets/platforms.
email: SoCWatchDevelopers@intel.com 
*Other names and brands may be claimed as the property of others. 
--------------------------------------------------------------------------
Command line options: -s 0 -o c:\hobl_data\socwatch\AI_Phi_12122025 -f temp -f npu -f gfx -f memss-pstate -f cpu-cstate -f hw-cpu-hwp -f hw-cpu-cstate -f hw-cpu-pstate -f os-cpu-cstate -f os-cpu-pstate -f hw-igfx-cstate -f hw-igfx-pstate -f display-state -f ddr-bw -f bw-all -f noc-pstate -f media-pstate -m -r auto --no-post-processing 

Program Started: N/A
Data Collection Started: 2025-12-13 02:34:21 GMT 
QPC Clock Frequency (MHz): 10 
CPU Base Operating Frequency (MHz): 3300
Collection duration (sec): 101.197
Collection begin timestamp: 2660588554515
Collection end timestamp: 2661600521601
System Name: 17A-59DUT
Operating System: Windows 11 [11.0 build 26100.5074]
CPU: Lunar Lake
CPU ID (family.model.stepping): 0x6.0xbd.0x1
Platform ID: 0b111
Integrated GPU Device ID: 0x64a0
Intel(R) PMT: Lunar Lake SoCN (0x3072005)
Intel(R) PMT: Lunar Lake SoCN Fixed (0x3072105)
PCH: Lunar Lake PCH-M (LNPCH-M)
EDRAM Present: No
Supported S0ix State(s) for PCD die: S0i2.0 S0i2.1 S0i2.2  
Total # of packages: 1 
Total # of cores: 8 
Total # of logical processors: 8

CPU native model:
Package_0/Core_0 = LNC
Package_0/Core_1 = LNC
Package_0/Core_2 = LNC
Package_0/Core_3 = LNC
Package_0/Core_4 = SKT
Package_0/Core_5 = SKT
Package_0/Core_6 = SKT
Package_0/Core_7 = SKT
=============,
Idle Analysis,
=============,

Histogram of Idle Duration per Package: Idle Hit Count,
Time Buckets,,Total (count),<=1ms (count),<=5ms (count),<=7ms (count),<=10ms (count),<=15ms (count),<=16ms (count),<=30ms (count),<=50ms (count),<=100ms (count),<=500ms (count),<=1s (count),<=5s (count),5s< (count),Unknown (count),
Package_0,Total(count),59925,59165,358,37,53,81,48,60,61,45,17,0,0,0,0,
,ACPI C1,5315,5293,21,0,0,1,0,0,0,0,0,0,0,0,0,
,ACPI C2,49582,49538,42,1,0,0,1,0,0,0,0,0,0,0,0,
,ACPI C3,5028,4334,295,36,53,80,47,60,61,45,17,0,0,0,0,


Histogram of Busy Duration per Package (intervals between idles): Busy Hit Count,
Time Buckets,Total (count),<=1ms (count),<=5ms (count),<=7ms (count),<=10ms (count),<=15ms (count),<=16ms (count),<=30ms (count),<=50ms (count),<=100ms (count),<=500ms (count),<=1s (count),<=5s (count),5s< (count),Unknown (count),
Package_0,61216,52774,6633,585,377,238,69,257,116,45,97,18,7,0,0,


Histogram of Idle Duration per Package: Idle Time,
Time Buckets,,Total (ms),<=1ms (ms),<=5ms (ms),<=7ms (ms),<=10ms (ms),<=15ms (ms),<=16ms (ms),<=30ms (ms),<=50ms (ms),<=100ms (ms),<=500ms (ms),<=1s (ms),<=5s (ms),5s< (ms),Unknown (ms),
Package_0,Total(ms),  12873.19,    462.16,    773.53,    215.92,    445.61,    993.34,    746.71,   1330.49,   2411.90,   3120.68,   2372.84,      0.00,      0.00,      0.00,      0.00,
,ACPI C1,    130.09,     77.21,     40.31,      0.00,      0.00,     12.57,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,
,ACPI C2,    287.11,    171.78,     94.05,      5.55,      0.00,      0.00,     15.72,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,
,ACPI C3,  12455.99,    213.18,    639.16,    210.37,    445.61,    980.76,    730.99,   1330.49,   2411.90,   3120.68,   2372.84,      0.00,      0.00,      0.00,      0.00,


Histogram of Busy Duration per Package (intervals between idles): Busy Time,
 Time Buckets,Total (ms),<=1ms (ms),<=5ms (ms),<=7ms (ms),<=10ms (ms),<=15ms (ms),<=16ms (ms),<=30ms (ms),<=50ms (ms),<=100ms (ms),<=500ms (ms),<=1s (ms),<=5s (ms),5s< (ms),Unknown (ms),
Package_0,  88318.67,   4572.31,  15245.71,   3468.62,   3102.05,   2932.55,   1084.38,   5257.09,   4369.80,   3075.65,  22687.11,  13426.25,   9097.15,      0.00,      0.00,


Histogram of Idle Duration per Core: Idle Hit Count,
Time Buckets,,Total (count),<=1ms (count),<=5ms (count),<=7ms (count),<=10ms (count),<=15ms (count),<=16ms (count),<=30ms (count),<=50ms (count),<=100ms (count),<=500ms (count),<=1s (count),<=5s (count),5s< (count),Unknown (count),
Core_0,Total(count),209999,195081,12647,1367,435,215,45,57,74,51,27,0,0,0,0,
,ACPI C1,30263,29483,690,55,15,14,3,1,2,0,0,0,0,0,0,
,ACPI C2,23456,21699,1516,167,42,21,5,3,2,1,0,0,0,0,0,
,ACPI C3,156280,143899,10441,1145,378,180,37,53,70,50,27,0,0,0,0,
Core_1,Total(count),285622,270102,13471,1337,268,213,43,56,59,49,24,0,0,0,0,
,ACPI C1,49853,48565,1160,86,23,17,1,1,0,0,0,0,0,0,0,
,ACPI C2,50392,48357,1805,167,25,32,4,1,1,0,0,0,0,0,0,
,ACPI C3,185377,173180,10506,1084,220,164,38,54,58,49,24,0,0,0,0,
Core_2,Total(count),362321,350268,10556,852,236,179,46,50,55,36,43,0,0,0,0,
,ACPI C1,91687,89768,1758,117,26,16,1,1,0,0,0,0,0,0,0,
,ACPI C2,58334,55872,2227,163,36,30,2,2,1,1,0,0,0,0,0,
,ACPI C3,212300,204628,6571,572,174,133,43,47,54,35,43,0,0,0,0,
Core_3,Total(count),267052,251980,12711,1591,338,226,50,38,44,33,41,0,0,0,0,
,ACPI C1,48275,47104,1035,74,29,25,4,3,1,0,0,0,0,0,0,
,ACPI C2,29043,27368,1450,166,32,17,9,1,0,0,0,0,0,0,0,
,ACPI C3,189734,177508,10226,1351,277,184,37,34,43,33,41,0,0,0,0,
Core_4,Total(count),16620,1848,11861,1975,379,135,36,121,118,86,51,8,2,0,0,
,ACPI C1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
,ACPI C2,208,169,35,1,0,1,1,0,1,0,0,0,0,0,0,
,ACPI C3,16410,1677,11826,1974,379,134,35,121,117,86,51,8,2,0,0,
Core_5,Total(count),17404,2457,12374,1782,289,130,34,115,92,76,45,6,4,0,0,
,ACPI C1,23,11,11,0,1,0,0,0,0,0,0,0,0,0,0,
,ACPI C2,524,480,36,3,1,1,1,2,0,0,0,0,0,0,0,
,ACPI C3,16857,1966,12327,1779,287,129,33,113,92,76,45,6,4,0,0,
Core_6,Total(count),15981,1360,11815,1927,362,131,24,129,94,79,51,5,4,0,0,
,ACPI C1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
,ACPI C2,104,70,32,2,0,0,0,0,0,0,0,0,0,0,0,
,ACPI C3,15875,1288,11783,1925,362,131,24,129,94,79,51,5,4,0,0,
Core_7,Total(count),15969,1419,11841,1896,340,125,43,106,96,62,30,8,3,0,0,
,ACPI C2,316,294,21,1,0,0,0,0,0,0,0,0,0,0,0,
,ACPI C3,15653,1125,11820,1895,340,125,43,106,96,62,30,8,3,0,0,


Histogram of Busy Duration per Core (intervals between idles): Busy Hit Count,
Time Buckets,Total (count),<=1ms (count),<=5ms (count),<=7ms (count),<=10ms (count),<=15ms (count),<=16ms (count),<=30ms (count),<=50ms (count),<=100ms (count),<=500ms (count),<=1s (count),<=5s (count),5s< (count),Unknown (count),
Core_0,209999,205201,4305,231,48,21,41,43,33,32,42,1,1,0,0,
Core_1,285622,279377,5610,367,72,33,26,65,37,12,21,1,1,0,0,
Core_2,362321,355007,6555,465,76,35,57,47,29,14,34,1,1,0,0,
Core_3,267052,261881,4576,320,57,35,69,53,29,13,17,2,0,0,0,
Core_4,16619,16457,99,4,2,11,7,11,12,12,2,1,1,0,0,
Core_5,17403,17028,264,9,14,22,13,11,18,15,7,1,1,0,0,
Core_6,15980,15764,162,5,3,9,8,6,10,8,3,1,1,0,0,
Core_7,15968,15517,286,8,9,23,14,33,34,31,11,1,1,0,0,


Histogram of Idle Duration per Core: Idle Time,
Time Buckets,,Total (ms),<=1ms (ms),<=5ms (ms),<=7ms (ms),<=10ms (ms),<=15ms (ms),<=16ms (ms),<=30ms (ms),<=50ms (ms),<=100ms (ms),<=500ms (ms),<=1s (ms),<=5s (ms),5s< (ms),Unknown (ms),
Core_0,Total(ms),  68262.39,  10022.54,  31651.22,   7845.86,   3511.94,   2664.18,    700.61,   1212.83,   2876.78,   3584.70,   4191.74,      0.00,      0.00,      0.00,      0.00,
,ACPI C1,   3389.16,   1080.95,   1549.76,    311.12,    124.35,    177.30,     47.09,     23.41,     75.18,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,
,ACPI C2,   7164.61,   1341.48,   4009.89,    962.16,    345.99,    257.54,     78.18,     52.57,     66.73,     50.09,      0.00,      0.00,      0.00,      0.00,      0.00,
