--------------------------------------------------------------------------
** INTERNAL USE ONLY **
Intel(R) SoC Watch for Windows* OS Version 2025.5.0 [Jul  3 2025]
Build Ref: eb71eb355ee5245549cefdd6ebec487f4ec32c2d
Driver Version 2.20.2 [May  6 2025]
Copyright (c) 2024 Intel Corporation. All Rights Reserved.
Platform power analysis tool for use with Intel processors/chipsets/platforms.
email: SoCWatchDevelopers@intel.com 
*Other names and brands may be claimed as the property of others. 
--------------------------------------------------------------------------
Command line options: -s 0 -o c:\hobl_data\socwatch\AI_Phi_12122025 -f temp -f npu -f gfx -f memss-pstate -f cpu-cstate -f hw-cpu-hwp -f hw-cpu-cstate -f hw-cpu-pstate -f os-cpu-cstate -f os-cpu-pstate -f hw-igfx-cstate -f hw-igfx-pstate -f display-state -f ddr-bw -f bw-all -f noc-pstate -f media-pstate -m -r auto --no-post-processing 

Program Started: N/A
Data Collection Started: 2025-12-13 01:40:16 GMT 
QPC Clock Frequency (MHz): 10 
CPU Base Operating Frequency (MHz): 3300
Collection duration (sec): 108.118
Collection begin timestamp: 2628139717493
Collection end timestamp: 2629220888440
System Name: 17A-59DUT
Operating System: Windows 11 [11.0 build 26100.5074]
CPU: Lunar Lake
CPU ID (family.model.stepping): 0x6.0xbd.0x1
Platform ID: 0b111
Integrated GPU Device ID: 0x64a0
Intel(R) PMT: Lunar Lake SoCN (0x3072005)
Intel(R) PMT: Lunar Lake SoCN Fixed (0x3072105)
PCH: Lunar Lake PCH-M (LNPCH-M)
EDRAM Present: No
Supported S0ix State(s) for PCD die: S0i2.0 S0i2.1 S0i2.2  
Total # of packages: 1 
Total # of cores: 8 
Total # of logical processors: 8

CPU native model:
Package_0/Core_0 = LNC
Package_0/Core_1 = LNC
Package_0/Core_2 = LNC
Package_0/Core_3 = LNC
Package_0/Core_4 = SKT
Package_0/Core_5 = SKT
Package_0/Core_6 = SKT
Package_0/Core_7 = SKT
=============,
Idle Analysis,
=============,

Histogram of Idle Duration per Package: Idle Hit Count,
Time Buckets,,Total (count),<=1ms (count),<=5ms (count),<=7ms (count),<=10ms (count),<=15ms (count),<=16ms (count),<=30ms (count),<=50ms (count),<=100ms (count),<=500ms (count),<=1s (count),<=5s (count),5s< (count),Unknown (count),
Package_0,Total(count),51072,50173,546,35,49,86,32,34,52,50,15,0,0,0,0,
,ACPI C1,6855,6847,6,0,0,1,0,0,1,0,0,0,0,0,0,
,ACPI C2,37970,37916,52,0,1,0,0,0,0,1,0,0,0,0,0,
,ACPI C3,6247,5410,488,35,48,85,32,34,51,49,15,0,0,0,0,


Histogram of Busy Duration per Package (intervals between idles): Busy Hit Count,
Time Buckets,Total (count),<=1ms (count),<=5ms (count),<=7ms (count),<=10ms (count),<=15ms (count),<=16ms (count),<=30ms (count),<=50ms (count),<=100ms (count),<=500ms (count),<=1s (count),<=5s (count),5s< (count),Unknown (count),
Package_0,51887,43052,6932,659,403,244,42,252,129,45,95,25,9,0,0,


Histogram of Idle Duration per Package: Idle Time,
Time Buckets,,Total (ms),<=1ms (ms),<=5ms (ms),<=7ms (ms),<=10ms (ms),<=15ms (ms),<=16ms (ms),<=30ms (ms),<=50ms (ms),<=100ms (ms),<=500ms (ms),<=1s (ms),<=5s (ms),5s< (ms),Unknown (ms),
Package_0,Total(ms),  12374.79,    677.31,   1217.05,    206.17,    412.24,   1084.25,    497.45,    703.92,   2060.11,   3344.55,   2171.72,      0.00,      0.00,      0.00,      0.00,
,ACPI C1,    146.56,     81.22,     16.23,      0.00,      0.00,     10.10,      0.00,      0.00,     39.01,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,
,ACPI C2,    344.69,    184.62,    102.32,      0.00,      7.62,      0.00,      0.00,      0.00,      0.00,     50.13,      0.00,      0.00,      0.00,      0.00,      0.00,
,ACPI C3,  11883.54,    411.47,   1098.50,    206.17,    404.62,   1074.15,    497.45,    703.92,   2021.11,   3294.42,   2171.72,      0.00,      0.00,      0.00,      0.00,


Histogram of Busy Duration per Package (intervals between idles): Busy Time,
 Time Buckets,Total (ms),<=1ms (ms),<=5ms (ms),<=7ms (ms),<=10ms (ms),<=15ms (ms),<=16ms (ms),<=30ms (ms),<=50ms (ms),<=100ms (ms),<=500ms (ms),<=1s (ms),<=5s (ms),5s< (ms),Unknown (ms),
